City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Eyl,7.9803,49.8164,76.77,83,14,26.4,SO,few clouds
1,Nikolskoye,59.7035,30.7861,67.89,94,100,4.47,RU,overcast clouds
2,Busselton,-33.65,115.3333,55.09,78,100,24.29,AU,overcast clouds
3,Souillac,-20.5167,57.5167,69.37,100,75,3.44,MU,moderate rain
4,Rikitea,-23.1203,-134.9692,74.19,75,2,11.81,PF,clear sky
5,Tuktoyaktuk,69.4541,-133.0374,48.2,71,90,11.5,CA,overcast clouds
6,Barrow,71.2906,-156.7887,39.22,92,90,8.05,US,overcast clouds
7,Australind,-33.2667,115.7167,55.06,82,100,21.74,AU,overcast clouds
8,Ushuaia,-54.8,-68.3,42.46,61,40,6.91,AR,scattered clouds
9,Puerto Ayora,-0.7393,-90.3518,75.16,85,64,8.99,EC,broken clouds
10,Port Hedland,-20.3167,118.5667,57.25,77,6,6.91,AU,clear sky
11,Zalantun,48.0,122.7167,66.2,99,100,3.6,CN,light rain
12,Barao De Melgaco,-16.1944,-55.9675,97.32,16,13,4.05,BR,few clouds
13,Esperance,-33.8667,121.9,58.84,80,3,14.2,AU,clear sky
14,Hobart,-42.8794,147.3294,44.46,87,12,4.0,AU,few clouds
15,Avarua,-21.2078,-159.775,69.85,88,75,2.3,CK,broken clouds
16,Basco,20.4487,121.9702,83.88,82,100,20.58,PH,overcast clouds
17,Linqiong,30.4159,103.4609,76.82,85,100,0.72,CN,overcast clouds
18,Vagamo,61.8751,9.0967,58.21,78,32,3.91,NO,scattered clouds
19,Shahr-E Kord,32.3256,50.8644,76.77,23,40,4.61,IR,scattered clouds
20,Khatanga,71.9667,102.5,54.37,61,100,13.06,RU,overcast clouds
21,Bredasdorp,-34.5322,20.0403,59.29,58,100,13.8,ZA,overcast clouds
22,Bethel,41.3712,-73.414,84.47,61,20,6.91,US,few clouds
23,Kabin Buri,13.9511,101.7177,77.86,89,100,3.51,TH,overcast clouds
24,Atuona,-9.8,-139.0333,77.32,80,26,19.55,PF,light rain
25,Kavieng,-2.5744,150.7967,81.12,76,98,10.07,PG,overcast clouds
26,Pevek,69.7008,170.3133,37.27,83,16,9.08,RU,few clouds
27,Hermanus,-34.4187,19.2345,59.81,89,100,20.62,ZA,moderate rain
28,Monrovia,6.3005,-10.7969,82.17,77,23,11.97,LR,few clouds
29,Boguchany,58.3814,97.4531,59.22,68,94,3.8,RU,overcast clouds
30,Port Elizabeth,-33.918,25.5701,61.09,77,0,26.46,ZA,clear sky
31,Komsomolskiy,40.4272,71.7189,83.12,36,0,4.61,UZ,clear sky
32,Dikson,73.5069,80.5464,46.08,79,0,5.19,RU,clear sky
33,Ancud,-41.8697,-73.8203,54.43,62,5,3.94,CL,clear sky
34,Qaanaaq,77.484,-69.3632,39.88,64,23,2.86,GL,few clouds
35,New Norfolk,-42.7826,147.0587,44.1,84,28,3.0,AU,scattered clouds
36,Saint-Philippe,-21.3585,55.7679,69.35,84,18,6.42,RE,light rain
37,Vardo,70.3705,31.1107,62.8,72,0,13.8,NO,clear sky
38,Codrington,-38.2667,141.9667,45.01,75,100,9.44,AU,overcast clouds
39,Talnakh,69.4865,88.3972,58.15,59,2,1.61,RU,clear sky
40,Quelimane,-17.8786,36.8883,69.75,78,0,5.75,MZ,clear sky
41,Salalah,17.0151,54.0924,77.09,100,90,4.61,OM,light intensity drizzle
42,Bluff,-46.6,168.3333,35.8,63,79,13.94,NZ,broken clouds
