City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Blair,11.6667,92.75,82.4,84,90,11.36,IN,2021-08-08 17:45:06
1,Rio Gallegos,-51.6226,-69.2181,48.25,46,0,28.77,AR,2021-08-08 17:44:45
2,Cape Town,-33.9258,18.4232,58.1,87,75,3.0,ZA,2021-08-08 17:42:48
3,Butaritari,3.0707,172.7902,82.6,65,16,11.72,KI,2021-08-08 17:45:07
4,Victoria,22.2855,114.1577,84.33,93,99,9.46,HK,2021-08-08 17:41:38
5,Bluff,-46.6,168.3333,35.8,63,69,14.97,NZ,2021-08-08 17:45:07
6,Olinda,-8.0089,-34.8553,80.33,69,75,17.27,BR,2021-08-08 17:45:08
7,Hithadhoo,-0.6,73.0833,82.45,72,97,5.7,MV,2021-08-08 17:45:08
8,Isangel,-19.55,169.2667,69.19,75,89,11.56,VU,2021-08-08 17:45:09
9,Ushuaia,-54.8,-68.3,42.46,61,75,9.22,AR,2021-08-08 17:45:09
10,Westport,41.1415,-73.3579,81.05,83,90,1.01,US,2021-08-08 17:45:09
11,Atuona,-9.8,-139.0333,77.27,80,82,19.35,PF,2021-08-08 17:45:10
12,Punta Arenas,-53.15,-70.9167,42.91,75,75,19.57,CL,2021-08-08 17:45:10
13,Asau,46.4333,26.4,74.32,65,13,1.99,RO,2021-08-08 17:45:10
14,Mahebourg,-20.4081,57.7,69.26,100,75,6.91,MU,2021-08-08 17:45:11
15,Mayo,38.8876,-76.5119,91.08,66,1,5.99,US,2021-08-08 17:45:11
16,Rovnoye,50.7765,46.0509,77.94,35,100,6.58,RU,2021-08-08 17:45:12
17,Visby,57.6409,18.296,68.05,82,20,11.5,SE,2021-08-08 17:45:12
18,Tual,-5.6667,132.75,80.2,79,100,19.22,ID,2021-08-08 17:45:12
19,Rikitea,-23.1203,-134.9692,74.3,75,32,11.3,PF,2021-08-08 17:43:30
20,Tromso,69.6496,18.957,70.45,40,0,5.75,NO,2021-08-08 17:45:13
21,Ribeira Grande,38.5167,-28.7,77.4,69,75,13.8,PT,2021-08-08 17:45:13
22,Aykhal,66.0,111.5,53.98,82,52,4.43,RU,2021-08-08 17:45:14
23,Ponta Do Sol,32.6667,-17.1,75.83,76,64,3.06,PT,2021-08-08 17:45:14
24,Vaini,-21.2,-175.2,62.76,94,20,2.3,TO,2021-08-08 17:45:15
25,Qaanaaq,77.484,-69.3632,39.72,69,36,3.2,GL,2021-08-08 17:45:15
26,Homer,59.6425,-151.5483,57.09,80,90,9.22,US,2021-08-08 17:45:15
27,Touros,-5.1989,-35.4608,83.3,69,52,18.75,BR,2021-08-08 17:45:16
28,Port Macquarie,-31.4333,152.9167,51.76,66,97,2.06,AU,2021-08-08 17:45:16
29,Grand Gaube,-20.0064,57.6608,69.39,89,90,3.0,MU,2021-08-08 17:45:16
30,Kodiak,57.79,-152.4072,54.91,94,90,8.05,US,2021-08-08 17:45:17
31,Broome,42.2506,-75.833,85.8,59,1,1.99,US,2021-08-08 17:45:17
32,Bathsheba,13.2167,-59.5167,88.41,66,20,25.32,BB,2021-08-08 17:45:17
33,Richards Bay,-28.783,32.0377,68.43,66,2,12.5,ZA,2021-08-08 17:45:18
34,Jamestown,42.097,-79.2353,83.17,66,75,1.99,US,2021-08-08 17:41:40
35,Williams Lake,52.1415,-122.1445,58.57,69,75,3.0,CA,2021-08-08 17:45:18
